# Words at >=3x their per-word rate in fiction vs. period corpus (min count 5)
# word	fictionCount	periodCount	ratio
man	2037	304	4.31
face	1346	53	16.35
eyes	1316	17	49.83
door	1258	90	9
around	1079	163	4.26
hand	1073	73	9.46
head	872	92	6.1
spade	862	0	null
girl	698	58	7.75
voice	695	10	44.74
gun	637	19	21.58
hands	632	59	6.89
behind	544	68	5.15
black	493	59	5.38
things	464	30	9.96
dark	431	42	6.61
thing	424	32	8.53
dead	421	61	4.44
mouth	397	11	23.23
chair	386	11	22.59
window	363	63	3.71
himself	361	56	4.15
lot	359	22	10.5
done	349	30	7.49
minutes	329	59	3.59
boy	325	64	3.27
together	322	58	3.57
table	322	23	9.01
words	316	16	12.71
myself	315	13	15.6
else	313	9	22.39
arm	298	28	6.85
help	288	41	4.52
better	283	40	4.55
sort	281	17	10.64
fingers	280	1	180.23
bed	277	28	6.37
circle	273	28	6.28
couple	264	19	8.94
san	263	26	6.51
mind	263	23	7.36
shook	257	3	55.14
fat	240	7	22.07
anybody	236	6	25.32
sir	235	39	3.88
nobody	233	8	18.75
job	232	31	4.82
moment	232	13	11.49
word	231	23	6.46
beside	231	11	13.52
chance	230	26	5.69
kid	228	3	48.92
hard	226	25	5.82
lips	224	0	null
hair	224	13	11.09
hat	218	23	6.1
pocket	211	20	6.79
desk	209	11	12.23
francisco	208	10	13.39
matter	206	44	3.01
josey	205	0	null
spoke	204	15	8.75
hell	203	32	4.08
brown	200	42	3.07
arms	200	36	3.58
straight	198	11	11.59
suppose	196	2	63.08
chin	193	2	62.11
cairo	191	2	61.47
inside	190	27	4.53
guess	186	3	39.91
clothes	185	14	8.51
stuff	185	8	14.88
shoulders	183	8	14.72
alone	182	21	5.58
detective	180	32	3.62
idea	179	21	5.49
shoulder	179	6	19.2
ahead	176	15	7.55
paper	176	24	4.72
returned	172	36	3.08
god	171	5	22.01
eye	170	12	9.12
damned	169	1	108.78
coat	168	10	10.81
lay	168	19	5.69
thin	167	22	4.89
bit	165	11	9.66
cigarette	164	6	17.59
caught	163	31	3.38
phone	162	9	11.59
leggett	159	1	102.34
mine	158	16	6.36
none	155	22	4.53
