# Words at >=3x their per-word rate in period vs. fiction corpus (min count 5)
# word	fictionCount	periodCount	ratio
street	855	1914	3.48
avenue	101	994	15.29
york	103	980	14.78
building	209	943	7.01
park	52	863	25.78
city	274	845	4.79
east	45	740	25.55
west	42	711	26.3
island	34	686	31.35
ave	0	634	null
american	42	488	18.05
north	63	473	11.66
brooklyn	0	473	null
to-day	2	469	364.31
south	55	440	12.43
river	118	435	5.73
church	8	433	84.09
world	143	427	4.64
square	66	419	9.86
manhattan	1	419	650.95
streets	110	408	5.76
broadway	34	363	16.59
central	18	362	31.24
district	85	361	6.6
buildings	69	352	7.93
near	119	343	4.48
court	72	337	7.27
washington	15	333	34.49
center	66	322	7.58
built	24	318	20.58
houses	33	304	14.31
john	47	293	9.69
also	97	292	4.68
hospital	54	288	8.29
during	80	283	5.5
page	26	280	16.73
bridge	25	277	17.21
line	119	265	3.46
war	38	260	10.63
company	89	253	4.42
state	40	248	9.63
present	39	242	9.64
general	70	242	5.37
among	96	240	3.88
school	8	238	46.22
area	4	235	91.27
united	21	233	17.24
bronx	2	232	180.22
fifth	32	231	11.21
high	116	230	3.08
subway	3	228	118.07
designed	5	225	69.91
public	37	224	9.41
per	4	224	87
site	0	224	null
william	1	221	343.34
nnd	0	219	null
bay	30	211	10.93
queens	1	210	326.25
states	30	208	10.77
dinner	68	208	4.75
museum	5	208	64.63
ing	0	207	null
structure	1	203	315.38
harlem	4	202	78.46
station	37	197	8.27
grand	35	195	8.66
section	13	195	23.3
art	18	195	16.83
club	45	191	6.59
main	65	190	4.54
erected	0	190	null
president	23	188	12.7
free	78	187	3.72
century	5	186	57.79
hudson	1	184	285.86
land	27	183	10.53
department	45	181	6.25
children	48	180	5.83
year	82	177	3.35
lines	60	175	4.53
george	26	174	10.4
cent	15	168	17.4
group	24	167	10.81
entrance	38	164	6.7
national	22	164	11.58
railroad	12	162	20.97
garden	11	161	22.74
college	7	161	35.73
government	18	158	13.64
america	19	154	12.59
union	12	153	19.81
french	32	152	7.38
hill	66	152	3.58
county	65	152	3.63
members	3	151	78.2
neighborhood	47	150	4.96
stone	39	149	5.94
admission	6	149	38.58
fort	1	149	231.48
society	15	148	15.33
established	6	146	37.8
dutch	20	145	11.26
heights	2	145	112.63
largest	8	145	28.16
modern	12	145	18.77
james	1	145	225.27
wero	0	145	null
collection	8	143	27.77
british	31	143	7.17
library	29	140	7.5
village	26	140	8.37
con	9	138	23.82
continued	39	136	5.42
original	18	136	11.74
henry	14	135	14.98
ferry	29	135	7.23
lunch	19	134	10.96
completed	5	134	41.64
market	27	133	7.65
jersey	0	133	null
statue	7	132	29.3
former	18	131	11.31
famous	14	129	14.32
service	7	128	28.41
staten	0	127	null
upper	44	126	4.45
including	20	126	9.79
madison	11	124	17.51
contains	3	124	64.21
avenues	0	123	null
law	52	122	3.64
terminal	1	122	189.54
founded	0	122	null
theater	28	118	6.55
cost	19	117	9.57
plaza	20	117	9.09
parkway	1	117	181.77
lexington	1	116	180.22
community	3	116	60.07
university	6	115	29.78
eastern	4	115	44.67
sunday	32	114	5.53
traffic	29	113	6.05
havo	0	112	null
local	20	111	8.62
board	36	110	4.75
english	40	110	4.27
jamaica	0	109	null
brick	26	108	6.45
private	50	108	3.36
restaurants	5	108	33.56
tion	0	108	null
aro	0	108	null
headquarters	31	107	5.36
important	54	107	3.08
van	34	107	4.89
development	2	106	82.34
charles	42	105	3.88
style	3	105	54.38
borough	0	105	null
housing	0	105	null
beach	28	104	5.77
tower	1	103	160.02
sho	0	103	null
committee	1	100	155.36
design	3	100	51.79
workers	7	99	21.97
homes	7	99	21.97
april	1	99	153.8
shore	16	97	9.42
form	31	97	4.86
million	38	97	3.97
special	32	96	4.66
fourth	25	96	5.97
march	10	96	14.91
sea	26	96	5.74
arts	1	96	149.14
irt	0	96	null
according	33	95	4.47
occupied	30	95	4.92
northern	2	95	73.8
acres	0	95	null
offices	23	94	6.35
federal	4	94	36.51
memorial	1	94	146.04
italian	30	93	4.82
view	34	93	4.25
municipal	4	93	36.12
estate	31	93	4.66
persons	12	93	12.04
battery	1	93	144.48
exhibits	2	93	72.24
sixth	28	92	5.1
food	45	92	3.18
fulton	0	92	null
property	20	91	7.07
system	19	91	7.44
press	24	91	5.89
richmond	25	91	5.66
stores	22	90	6.36
walls	43	90	3.25
construction	2	90	69.91
labor	5	89	27.65
institute	4	89	34.57
foreign	16	88	8.54
o'clock	10	88	13.67
city's	5	88	27.34
strike	27	87	5.01
received	37	87	3.65
rockefeller	0	87	null
interior	9	86	14.85
